Filename,Genres,Release Year
Black Sabbath_2013-01-01,rock alternativerock experimental indierock,2013-01-01 00:00:00
Van Halen_1984-01-03,rock hardrock heavymetal,1984-01-03 00:00:00
Green Day_2009-05-15,rock alternativerock punk,2009-05-15 00:00:00
Van Halen_1986-03-24,rock hardrock,1986-03-24 00:00:00
2Pac_1991-11-12,hiphop gangsta conscious,1991-11-12 00:00:00
Brian Crain_1998,electronic house deephouse,1998-01-01 00:00:00
Dream Theater_2011-08-25,rock progrock,2011-08-25 00:00:00
Radiohead_2016-05-08,electronic rock artrock indierock,2016-05-08 00:00:00
OutKast_1996-08-27,hiphop,1996-08-27 00:00:00
Linkin Park_2010-09-13,hiphop rock alternativerock industrial,2010-09-13 00:00:00
The Beatles_1969-09-26,rock poprock,1969-09-26 00:00:00
The Ocean_2006-03-07,electronic drumnbass,2006-03-07
