Filename,Genres,Release Year
TheDarkSideOfTheMoon_PinkFloyd,rock thrash speedmetal heavymetal,1973-03-01 00:00:00
PeaceSells...ButWho'sBuying(25thAnniversary)_Megadeth,rock poppunk,1986-01-01 00:00:00
Monster_KISS,rock heavymetal,2012-10-09 00:00:00
Metallica_Metallica,rock pop alternativerock,1991-08-12 00:00:00
Nevermind(Remastered)_Nirvana,rock hardrock,1991-09-26 00:00:00
ValleyOfTheDamned_DragonForce,rock symphonicrock speedmetal heavymetal,2003-01-01 00:00:00
Buddha_blink-182,rock blackmetal,1998-10-27 00:00:00
BlackClouds&SilverLinings_DreamTheater,rock thrash,2009-06-19 00:00:00
RideTheLightning(DeluxeRemaster)_Metallica,rock heavymetal,1984-07-27 00:00:00
Gish(2011-Remaster)_TheSmashingPumpkins,rock alternativerock grunge,1991-01-01 00:00:00
Yield_PearlJam,rock hardrock heavymetal poprock,1998-02-17 00:00:00
21stCenturyBreakdown_GreenDay,rock hardrock glam heavymetal,2009-05-15 00:00:00
Destroyer(RemasteredVersion)_KISS,rock hardrock speedmetal thrash,1976-03-15 00:00:00
DivineIntervention_Slayer,rock hardrock heavymetal,1994-01-01 00:00:00
LifeOnTheMurderScene_MyChemicalRomance,rock alternativerock,2006-03-17 00:00:00
SixteenStone(Remastered)_Bush,rock alternativerock,1994-12-06 00:00:00
Zeitgeist_SmashingPumpkins,rock symphonicrock speedmetal heavymetal,2007-01-01 00:00:00
TheGetaway_RedHotChiliPeppers,rock alternativerock grunge,2016-06-17 00:00:00
VanHalenII(USInternetRelease)_VanHalen,rock industrial hardrock heavymetal,1979-01-01 00:00:00
Dynasty(RemasteredVersion)_KISS,rock stagescreen poprock soundtrack psychedelicrock,1979-03-23 00:00:00
PiscesIscariot(2012-Remaster)_TheSmashingPumpkins,rock hardrock,1994-01-01 00:00:00
Weezer_ Weezer,rock hardrock,1994-01-01 00:00:00
Reload_Metallica,rock alternativerock punk,1997-11-18 00:00:00
SouthOfHeaven_Slayer,rock thrash,1988-01-01 00:00:00
ChineseDemocracy_GunsNRoses,rock bluesrock heavymetal,2008-01-01 00:00:00
Dehumanizer(RemasteredEdition)_BlackSabbath,rock hardrock heavymetal,1992-01-01 00:00:00
RockaRolla_JudasPriest,rock speedmetal,1974-01-01 00:00:00
TheUpliftMofoPartyPlan_RedHotChiliPeppers,rock hardrock glam,1987-01-01 00:00:00
